gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000139531.8,SUOX,5.685325398114551,0.027618885152471087,1.3056381819223943e-08,0.0743398468628859,0.0833246009925196,0.0118860933174668,NA,43,56,56
ENSG00000214941.3,ZSWIM7,-5.6746390924134475,-0.024860295336219793,1.3898135270986886e-08,0.0979137597270093,0.290256491993807,6.42261767336006e-07,NA,16,22,22
ENSG00000145194.13,ECE2,5.66979105482979,0.03292363219924038,1.4297177438214468e-08,0.06493014951123292,0.229041160103694,3.82682340607074e-06,NA,10,14,14
ENSG00000025434.14,NR1H3,-5.666185022621587,-0.018609715431985686,1.4601185798420346e-08,0.161918287560827,0.115911188779576,0.00213957246124244,NA,63,73,73
ENSG00000153443.8,UBALD1,5.57698301021458,0.045174828359698,2.447257602701549e-08,0.02389674999207752,0.137317700707646,0.000828088953040122,NA,6,7,7
ENSG00000168036.12,CTNNB1,5.474974028963458,0.0236385980399213,4.3757578164951704e-08,0.10887980883080016,0.169223504279727,0.000192690954788739,NA,32,36,36
ENSG00000143369.10,ECM1,5.467106566371025,0.029537927176787614,4.574410627635126e-08,0.05317970673189313,0.0990242434016736,0.00536879454759882,NA,7,11,11
ENSG00000186470.9,BTN3A2,-5.277895400101838,-0.01520105412692213,1.3067601726791732e-07,0.22962122382807182,0.203942443934425,6.38929246760797e-05,NA,83,96,96
ENSG00000119878.5,CRIPT,-5.211533765781304,-0.02220375810634053,1.8728574577524974e-07,0.09743673439574371,0.183184851797552,7.617377792507e-05,NA,24,25,25
ENSG00000204351.7,SKIV2L,-5.175530624770618,-0.2870634260156458,2.2726414733765745e-07,0.0006732714267955998,0.165652570236516,0.000176949570609923,NA,7,26,26
ENSG00000273281.1,RP11-339B21.14,-5.147812223298019,-0.018976257339104196,2.635421112280153e-07,0.14046209563439024,0.0878003114161288,0.00851487793231034,NA,20,24,24
ENSG00000177697.13,CD151,5.1466128190847815,0.0539470696305622,2.6523197397157364e-07,0.016153514457692874,0.200261555125667,2.17634300919752e-05,NA,8,18,18
ENSG00000272960.1,RP11-339B21.15,-5.12070089264813,-0.01976722538673947,3.044021399954389e-07,0.10308000803913828,0.176977587030831,0.000190080086867345,NA,16,21,21
ENSG00000197345.8,MRPL21,-5.106504117682262,-0.016253877732657417,3.281734626697007e-07,0.1494566683783686,0.340394829678887,2.45522527536632e-08,NA,27,32,32
ENSG00000198231.8,DDX42,5.101958220138398,0.06292533677630636,3.361569717718551e-07,0.010946232738131884,0.210475106758392,4.20838548265192e-05,NA,3,9,9
ENSG00000058866.10,DGKG,-5.033243003869407,-0.032527595042700974,4.822511824667213e-07,0.04931223958167672,0.12541258595901,0.00222239336670691,NA,13,15,15
ENSG00000242142.1,SERBP1P3,4.9787198131973005,0.012552112569324233,6.400622224956249e-07,0.31941907663422026,0.426818318330385,4.17045427593719e-12,NA,42,48,48
ENSG00000037042.8,TUBG2,-4.955008891298987,-0.04708011351801156,7.232698178602344e-07,0.02321300761485913,0.146349565906107,0.000742379728706842,NA,16,26,26
ENSG00000262877.3,RP11-1055B8.4,-4.89826846036321,-0.017303042596446112,9.668487964587331e-07,0.15142341712524776,0.114450701039981,0.00267513528102731,NA,56,73,73
ENSG00000163811.7,WDR43,-4.896657616824966,-0.04855279694153818,9.748046468937761e-07,0.020429866406308745,0.0849841885756896,0.0124310543074503,NA,10,10,10
ENSG00000151917.13,BEND6,-4.886804502178847,-0.019838722210774276,1.0248576841546525e-06,0.10627062813800753,0.239016417203277,1.43871159217926e-06,NA,16,17,17
ENSG00000248278.1,RP11-463M16.4,4.85783428264596,0.03399243196042089,1.1867666920537511e-06,0.03281150695934417,0.0863414497806563,0.0116657523906065,NA,35,36,36
ENSG00000165695.5,AK8,4.841321713440754,0.014066154950567764,1.2897836384211548e-06,0.22547385947442505,0.394561101671766,1.53217577428878e-09,NA,36,41,41
ENSG00000090861.11,AARS,4.83679419445115,0.030702892412238704,1.3194992192532854e-06,0.061563871485297884,0.152856432289227,0.000637682696733909,NA,20,22,22
ENSG00000177479.15,ARIH2,-4.813570820313245,-0.0245115792867062,1.4825702750787013e-06,0.04461082841474907,0.0561838606261652,0.0363981397978469,NA,6,7,7
ENSG00000182698.7,RESP18,4.786786781972699,0.02422591166438802,1.6947271141889237e-06,0.0714224069854203,0.160784185464307,0.000207074223193084,NA,13,17,17
ENSG00000171103.6,TRMT61B,4.785512681939595,0.024550627157099086,1.7055141619359606e-06,0.07391252803958462,0.127387899167755,0.00152198907426143,NA,19,21,21
ENSG00000173153.9,ESRRA,4.7779063476671855,0.016695151286288835,1.7712984040821292e-06,0.14931196642750982,0.0914238841355333,0.00713143980250284,NA,36,49,49
ENSG00000165916.4,PSMC3,4.7521290726354195,0.015779732590042454,2.012858057287685e-06,0.15822091322980575,0.187557940243034,0.000122005325510961,NA,28,32,32
ENSG00000244515.1,KRT18P34,-4.719047333199362,-0.03192750592377205,2.3695168689199e-06,0.0434462529877777,0.164694670707687,0.000383302574609958,NA,27,30,30
ENSG00000145723.12,GIN1,4.7179581873185175,0.027734473298991775,2.382234380401944e-06,0.055770923969113165,0.0818130338201785,0.0147930930691013,NA,16,18,18
ENSG00000111364.11,DDX55,4.715886054346913,0.03360632626749465,2.4066109975146127e-06,0.028257504209803816,0.166553190005127,0.000320832867847539,NA,11,12,12
ENSG00000174165.3,ZDHHC24,4.645123091865091,0.0427610770557625,3.398737469070226e-06,0.023464668476183198,0.0541198414391502,0.0466069694986872,NA,29,39,39
ENSG00000114737.11,CISH,-4.633434728960353,-0.029603228402912022,3.596481880523838e-06,0.048339334052506615,0.131279668774172,0.00110973129271775,NA,43,51,51
ENSG00000132842.9,AP3B1,-4.619123191301883,-0.0333448345013147,3.8536502098037845e-06,0.03827529845261615,0.107706326607733,0.00525944161641179,NA,18,19,19
ENSG00000272338.1,RP11-722E23.2,-4.612885659118204,-0.033927067150796,3.9711678345127025e-06,0.03660749681556366,0.114338788182588,0.00276311639761691,NA,7,8,8
ENSG00000204531.11,POU5F1,4.6126220381398895,0.8019465823134666,3.9762094538844155e-06,7.443509207668632e-05,0.154050640875055,0.000318002157411429,NA,3,23,23
ENSG00000140830.4,TXNL4B,4.544962587208049,0.027714843450430956,5.494501256224708e-06,0.0536750774377674,0.127043803433504,0.00115798674115451,NA,9,11,11
ENSG00000248971.2,KRT8P46,4.51920799842117,0.06186672526951371,6.20713914727673e-06,0.011590053295999499,0.0636345913242677,0.0341821431464575,NA,3,6,6
ENSG00000186715.6,MST1L,4.50805653293009,0.019259793533492588,6.54241458331508e-06,0.10930824229680047,0.126350262825345,0.00139235055473823,NA,22,23,23
ENSG00000245156.1,RP11-867G23.3,-4.50619649887085,-0.10600461136887306,6.599997277441873e-06,0.003430351028717811,0.055949658572221,0.0452992627098884,NA,1,1,1
ENSG00000186792.11,HYAL3,-4.502555290112943,-0.017109892771052893,6.71412799820541e-06,0.10939105650596229,0.176631952906935,0.000152729163492826,NA,23,32,32
ENSG00000237541.3,HLA-DQA2,4.487336836009805,0.02653011385196768,7.211900547018556e-06,0.05359180266327649,0.517257142560067,6.31576135171508e-14,NA,10,35,35
ENSG00000243007.1,RP11-106M3.1,4.486216901077454,0.04434419202077281,7.249893756981739e-06,0.01771006603179178,0.0615333612550589,0.0259007445653043,NA,2,3,3
ENSG00000144791.5,LIMD1,4.443896264909738,0.024906326722969482,8.834421255251973e-06,0.058901721376953584,0.0689576637535778,0.0241483117107827,NA,11,12,12
